review_text;target
был почти такой же,разбился заказали его, очень довольны, спасибо;praise
дочки довольны 👍;praise
Работает;praise
👍нормально;praise
телефон супер,быстрый,в общем всё отлично,спасибо продавцу!;praise
хороший👍😎;praise
беру уже не первый, сыну брал такой, играет, его устраивает всё. не тупит. этот маме заказал, тоже всё хорошо.;praise
Отличный смарт за свои деньги, проц тянет, памяти хватает. Ребенку, и пожилым людям посидеть в соц сетях, посмотреть видосики самое оно, еще и звук стерео.;praise
Для школьника и пенсионера самое то.;praise
Ок;praise
пока нормально,ещё мало времени прошло;praise
Ребёнок пользуется уже полгода. Работает нормально, качество/цена соответствует.;other
хороший телефон .ребенку самое то .👍 рекомендую;other
хороший;praise
очень быстро разряжается;praise
муж доволен;praise
отличный телефон по доступной цене;praise
отличный телефон, за такую цену так вообще класс.;praise
Телефон в подарок, поэтому ещё не скрывали. Ждём торжественной даты.;quality_complaint
Понравился! Подарили маме, но можно и себе! Вполне!!!! Все функции работают, всё отлично!;praise
класс 👍👍👍👍👍 телефон мама в восторге подарили ей на день рождения 🎉🎉🎉🎉🎉 продавцу спасибо за телефон продавца всем рекомендуем...;praise
Отличный, камера топ;praise
работает)динамик хороший;praise
Хороший телефон;praise
Прекрасный с;praise
Отличный вариант для младших школьников и дошкольников. Прочный, удобный андроид. Роблокс тянет, заряд держит. Кайф.;praise
понравилось дальше посмотрим;praise
для цены просто супер;praise
в целом норм в дальнейшем посмотрим;praise
пришёл во время товар отличный продовца рекомендую;praise
отличный телефон;praise
Телефон хороший, минусов пока не нашёл, все понравилось 🙃;praise
"не впечатлён. синхронизации с другим телефоном не получилась. клонировать старый телефон не получается от слова совсем . 
Цвет не золото, а какая-то Серебрянка . 
функционал нулевой . 
ничего в этом телефоне нет . 
Ну и как я понял, камера тут только одна, а вторая это просто стекляшка стоит. 
бутафория .";praise
Такое чувство что б.у.Коробка замята,провод зарядки валялся в коробке не смотанный,не знаю должно быть или нет но защитной пленки на экране не было.;quality_complaint
отличный телефон.;delivery_complaint
не глючит, нормальный гаджет за такую цену));praise
хороший телефон советую к покупке;praise
Пришёл в заводской упаковке, без повреждений. Приобрела для подарка;praise
слушайте за 5 к,это просто находка,звук обалденный,фото огонь,грузит быстро,берите не пожалеете!!!!!;praise
"Всё прекрасно но после Samsung кажется чуть тупеньким и медленным иногда долго отрывает страницы регистрации или долго прогружает графику и дело не в сети.
Ну а в остальном не плохой телефон , стерео звук много памяти удобный дизайн и интерфейс. Дизайн операционки прекрасен + разработчикам в карму.
Батарею держит прекрасно.
Если учесть что это бюджетный...";praise
"покупался экстренно,иначе замену разбитого, буквально на несколько дней....
Оказался на удивление продвинутым и удобным. Очень неожиданно и приятно! Владелец покупку нового отложил, пользуется с удовольствием)) хотя владелец довольно капризен";praise
Хороший смартфон.Работает на удивление плавно.Купила как временный ,мой забрала полиция как вещ.док.;praise
понятный,качественный середняк. вполне удовлетворяет своими не придуманными (как у некоторых) характеристиками.;praise
Подарок для дочки, т.к. у нее это первый телефон, ее и нас все устраивает. Работает уже неделю, камера нормальная.;praise
топ за эти деньги если просто звонить и соц сети;praise
работает;other
нравится ,первое впечатления положительное ,пользуюсь 👍;praise
хороший телефон,но качество ужас;quality_complaint
телефон соответствует заявленным требованиям, будем юзать;praise
"За свои деньги вполне хороший телефон 
Минус это слабый динамик 
И хромает отпечаток пальца";praise
Отличный Смартфон за свою цену. На рынке новых за эту цену нету лучше.;other
хороший телефон, мужу понравился! пока нареканий нет. Спасибо, рекомендую!;praise
время покажет.;praise
Телефон работает, всё хорошо 👍.;praise
За свои деньги хороший товар;praise
за свои деньги норм;praise
Простой. Рабочий. Видео простите снимает гамняво. Мой хонор 10икс Лайт круче в стораз снимает. Но семилетке как первый телефон пойдет;praise
Использую телефон для работы. За такую цену просто супер. Некоторых функций конечно не хватает, приходится закачивать отдельно, но в целом - огонь!;praise
Работает. Ребёнок рад👍;praise
Взял как второй для работы , в целом неплохой телефон , звёзд с неба не хватает, однозначно стоит своей цены . Комплектация полная .;quality_complaint
на вид хороший..но глюк есть;praise
работает все хорошо нравится спасибо;praise
Неожиданно приятно удивлена, телефоном очень шустрый, качество фото на высоте, для меня это очень важно. Цвет очень приятный, удобно держать в руке. Однозначно рекомендую, цена качество огонь 🔥;praise
хороший тел за эти деньги;praise
Внуки довольны в свои 9 лет;praise
Отличный телефон, все бегает. Ребёнок доволен.;praise
хороший телефон,к покупке рекомендую;praise
Хороший бюджетник. Ребёнок доволен.;quality_complaint
Телефон отличный. Пришел рабочий, с полной зарядкой. сначала правда все было на англ.языке, потом поменяла на русский. мама в восторге.;praise
работает только на зарядке, при отключении от сети телефон моментально отключается, аккумулятор не рабочий совсем, даже секунду не держит заряд, и при нажатии на заднюю крышку люфт в месте аккумулятора, оформили возврат, ответа пока нет;quality_complaint
пришёл в заводской упаковке,включается,пока вроде всё в норме,только открыли настраиваем.;praise
очень хороший телефон за эти деньги;praise
за такие деньги даже очень ничего;praise
Смартфон не тормозит, большой плавный экран 120 Гц, что для телефона за такую цену большая редкость. В общем пока все нравится, а дальше посмотрим как дело пойдет. По мере использования буду отзыв дополнять.;praise
рекомендую 👍;praise
хороший телефон,шустрый.Все работает.;praise
Яркий, цвета насыщенные 👍 Как будет в эксплуатации посмотрим 😊 Ребёнок доволен 👍;praise
все отлично работает, только вот звук почему то тихий;quality_complaint
Хороший товар;praise
Ребёнок доволен. Не тормозит. Всё работает.;praise
вроде неплохой,качество фото хорошее,шустрый, в настройках простой;praise
классный телефон всё устраивает.за свою стоимость я бы даже сказала отличный.доставка быстрая без повреждений каких либо.рекомендую.;praise
работает. но замороченный как и все ксяоми,говна в него всякого напихали..;quality_complaint
Брал не для себя человек доволен;praise
еще не проверял а так все ок;other
Пришел бракованный;quality_complaint
Дд;other
всё замечательно работает;praise
Хороший смартфон за свои деньги🚀, всё как в описании👍, однозначно 5⭐️;praise
Всё хорошо.;praise
всё хорошо, понравился;praise
уже второй телефон этой фирмы и у этого продавца. первый работает отлично,надеемся и этот прослужит долго. спасибо продавцу.упаковано отлично,все в целости. дети довольны телефонами.;praise
Очень мне понравился;praise
телефон работает отлично.;praise
Хороший телефон, качественный, работает без нареканий! Рекомендуем!👍;praise
спасибо.телефон понравился.рекомендую.;praise
Телефоном очень довольны, спасибо большое!🙏❤️;praise
хорошее качество за свою цену;praise
ребенок в восторге;praise
"очень достойный аппарат за эти деньги 
для ребенка круто с запасом
дизайн красивый, всё шустро, классно
батарейка хорошая";praise
отлично;praise
телефон за такую цену просто БОМБА, советую.;praise
норм.экран яркий.;praise
Телефон для дочери то что надо. И на вид и память и скорость для своих денег ном. Рекомендую. Пришёл за 2 дня.;praise
Качество аппарата при такой цене меня просто удивило. Подарил маме - она рада.;praise
хороший телефон за свою цену пришел быстро;praise
телефон понравился,доча довольна!!!сынок просит такой же!!!купим;praise
Отличный смартфон. За такие деньги просто пушка. Чуть попозже возьму ещё один в подарок.;praise
пока все устраивает,быстрая доставка;praise
настроили,пока всё работает;praise
очень хороший товар 👍 рекомендую.дочери очень понравился.;praise
Симпатичный, шустрый, 120 герц, да, янд карты открываются дольше чем на флагмане, но камон, телефон за 5000. За свою цену— идеальный;praise
за такие деньги нормально;praise
дочка довольна.;praise
Брала на подарок, очень понравился.;praise
нормально работает;praise
хороший телефон, всё работает 👍;praise
Выглядит дорого и презентабельно, не дешёвка. Отвечает заявленным достоинствам, качество изображения четкое, не тормозит и соответствует заявленной цене.;praise
Снова прекрасное приобретение за 1 р+звездочки)))))Телефон отличный в своем ценовом сегменте!!!!Яркий,шустрый,домтаточно громкий)Камера конечно не профессиональная,но в целом неплохо.Нужен был телефон для работы,выбором довольна)рекомендую;praise
работает нормально тиховат а так норм;quality_complaint
Хороший бюджетный телефон.;praise
очень переживала так как,первый раз выписываю, телефон просто бомба ,летает только успевай,очень понравилось.РЕКОМЕНДУЮ;praise
"Хорошенький,но довольно тихий телефон 
И немного медленный 
В целом за свои деньги нормально";quality_complaint
со стороны камеры есть маленькая трещина, на фото не мешает, оставил, для ребенка, все равно доломает;quality_complaint
Брал ребёнку. Хорошее соотношение цена/качество. Большой экран, нормальная батарея. Ребёнок доволен);praise
хороший телефон фоткает хорошо пользуюсь 3 недели взял 3 штуки;praise
Всё работает.;praise
заказали телефон , вскрыли дома , маме не понравился он из за своих размеров. В итоге заявку на возврат отклонили ,яко бы из за того что мы им пользовались. Одобрите заявку и верните деньги !!!!!!!!!!!!;delivery_complaint
Телефон отличный не глючит, шустрый очень, рекомендую продавца 👍;praise
хорошее соотношение цены и качества.;praise
отличный аппарат для дочери!!! рекомендую;praise
работает время покажет.;other
Хороший телефон,все заявленные характеристики совпадают.;praise
заказ пришёл очень быстро, спасибо продавцу.В целом телефон мне понравился за такую цену;praise
супер спасибо продавцу 👍;praise
В пользовании третий день. Пока всё устраивает. По сравнению с моими предыдущими телефонами - Samsung, LG, Huawei - у данного продукта несколько замороченный интерфейс. Но со всем разобралась. Один большой минус - графический ключ. Помимо отпечатка пальца сделала защиту графическим ключом, но при вводе ключа показывает, что ключ неверный, хотя, прежде...;quality_complaint
телефон супер брал в подарок благодарю рекомендую;praise
пока всё ок,посмотрим что дальше будет;other
Заказала внучке на др. Задержался на 1 день,всё целое,симпотичный телефон. Внучке понравился. Надеюсь прослужит долго⚘;delivery_complaint
всё в порядке, спасибо!;praise
Нормальный телефон, взяли тестю, доволен;praise
нормально;other
самый крутой телефон лучше всяких айфонов;praise
дед сказал что он очень доволен телефоном 🙂👍;praise
всё отлично,работает как надо;praise
пойдёт;other
За свою цену хороший телефон. Относительно быстрый. Камера слабоватая, а так пока что все устраивает;quality_complaint
Отличный смартфон в комплекте адаптер, провод, силиконовый чехол, защитное стекло, скрепка для слота сим карты, всё соответствует описанию. есть NFC;praise
10 дней полёт нормальный. пока что нареканий нет.;praise
телефон брал и муж и сын им очень нравится этот телефон советую брать;praise
норм телефон . зарядку не огонь держит.;quality_complaint
телефон супер, быстрый!;praise
отличный телефон,сыну понравился.;praise
телефон нормальный за свои деньги! чехол хороший, а вот пленка ничем просто пленочка. заказали защитное стекло. покупкой довольны рекомендую !;quality_complaint
лучший!!!;praise
брали для ребенка...все работает...спасибо;praise
"Телефон брала внучке на подарок.
Ребёнок от подарка в восторге!Телефон красивый, большой экран, яркий, громкий. Памяти много, фото хорошего качества.
Рекомендую товар и продавца!
Упаковка хорошая, доставка в срок.";praise
Работает хорошо. Правда большой, надо привыкнуть.;quality_complaint
товар хороший;praise
все отлично рекомендую продавца спасибо за быструю доставку 🚚;praise
спустя пару месяцев бездушно лагает,полный кал;quality_complaint
телефон хороший, пришёл в заводской упаковке, всё в комплекте было, пока работает хорошо, позже дополню;praise
Пока все хорошо, работает, внучка довольна;praise
Брала телефон внучке, взамен разбитого пока все устраивает, заявленным параметрам соответствует;praise
периодически глючит в плане звонков , может сеть;quality_complaint
отличный телефон! все работает!рекомендую продавца!спасибо 👍;praise
Вот это другое дело! Настоящий фирменный Tecno Spark. Работает быстро и надежно. Памяти достаточно. Дополнительную sd карту принимает. Работает с любыми программами. Звук двухсторонний стерео высокого качества. Товаром доволен. Благодарю.;praise
Отличный телефон за свою цену. Беру уже второй. Сначала купила папе(69 лет) в использовании 2,5 месяца нареканий нет, все работает хорошо. Теперь купила маме. Рекомендую!;praise
не работает . сразу отдали в сервис на ремонт.;quality_complaint
хорошая бюджетка но 120 герц максимум в приложениях а вот tecno spark go 2024 было почти в любых играх которые он тянул 90 герц как и было написано а в остальном он лучший;quality_complaint
клевый телефон дочке понравился очень!!!!!;praise
Норм;other
отличный смартфон за такие деньги!!! Благодарю всех и рекомендую!!!;praise
Хороший;praise
хороший телефон по свои характеристикам и цене;praise
За свои день весьма достойный аппарат, камера при хорошем свете снимает терпимо, NFC есть, софт ставится, батарейка держит, экран вполне себе нормальный, фризы/затупы есть но от такого набора железа другого ждать и не стоит. С флагманами сравнивать не надо, а за свои деньги на удивление хороший телефон.;praise
отличный,шустрый,громкий,фото супер;praise
Отличный телефон! Спасибо!;praise
Товар пришел хорошо упакован, все работает норм. Спасибо.;praise
Покупали ребёнку;praise
отличный товар это второй заказ а Первый заказ Я разбил начал глючить;quality_complaint
отличный телефон, купили ребёнку девочке 8 лет, купили за 6500 р. телефон ребёнку понравился;praise
впечатляет.;praise
Не ловитчерез любое металлическое сооружение,кругом типа все должны с 5 g либо с 6G;quality_complaint
За эти деньги отличный телефон. В эксплуатации уже неделю. Не тормозит, аккумулятор хороший, на два дня пользования хватает.;praise
внуку понравился,спасибо.;praise
покупкой довольна;praise
хороший телефон, за свою цену отличный рекомендую . заряжается с нуля до ста за полтора часа . заряда хватает примерно на 6-7 часов активного пользования.👍;praise
Ребёнку телефон нравится!;praise
не заходит в Гугл аккауунт;quality_complaint
пришлел целый, хорошо упакован,работает ,пока без нареканий,брали в подарок маме,в принципе довольна, спасибо за доставку;praise
телефон хороший, но доставка мудрила. три раза переносили доставку. в место двух дней, ждал неделю.;delivery_complaint
хороший телефон за эти деньги ,покупал бабушке ей всего хватает;praise
чехол плотный, отлично сел на телефон, сын доволен!;praise
Работает хорошо;praise
работает! дочь довольна;praise
Телефон класс только пленка короткая на стекло пришла;quality_complaint
большое спасибо, очень понравилось. это был подарок для ребенка;praise
хороший телефон рекомендую;praise
Батарея очень слабая,а так все норм.;quality_complaint
пока работает;praise
все норм.;praise
вчера получил- работает хорошо.до этого брал такого же бренда только 8с(3года назад) - отлично справляются с функциями.поправка через четыре дня использования. аккумулятор не очень-то и держит за 4 часа в интернет(тик ток) батарея от полного ,села до 20%. это хреново. 8с который,держал до 6-7 часов .да и по весу,ооочень лёгкий.видимо от аккумулятора...;quality_complaint
Работает хорошо, шустро. С приложениями проблем нет. Камера сносная. Обновления прилетели сразу после запуска и настройки. Заряд держит хорошо, заряжается быстро.;praise
Сказать , что я довольна телефоном , эго нечего не сказать ! Телефон просто отличный! Качество фото , видео крутое . Дизайн на 5+. Одним словом телефон очень крутой , за смешную цену. Я любитель эпл, больше 12 лет пользуюсь только ими. Решила ребенку первый телефон взять Tecno, и осталась довольна. Есть с чем сравнить, скажу так ,Tecno далеко не ушёл...;praise
Пока всё отлично;praise
всё хорошо работает;praise
"классный,брал отцу на
подарок.";praise
норм;other
иногда при зарядке греется;quality_complaint
Телефон понравился, муж в восторге! Посмотрим как будет служить, рано судить о качестве товара!;praise
Норм;other
телефон тупит даже обычное предложение;quality_complaint
супер 🤟;praise
классный телефон,все работает,ребенок доволен,спасибо продавцу!!!;praise
Аккумулятор слабоват.;quality_complaint
Пока всё отлично, все функции хорошо работают, всё как в описании! В общем не плохой телефон, взял по совету знакомого, не разочарован, скорее в восторге! Надеюсь и дальше не подъведёт! Продавцу спасибо!;praise
маме нравится;praise
"У мужа TECNO... лет 6 как новенький, шустрый.
Недавно заменила самсунг на TEXNO POVA 6. очень понравился. 
Свекровь решила, тоже купить TECNO SPARK 30. всë понравилось, очень рада. 
Отличная фирма TECNO. 👍 
Скоро купим ещë TECNO на 🥳.";praise
отличный аппарат рекомендую;praise
Хороший телефон;praise
понравился, очень хороший телефон, спасибо продавцу.;praise
супер! 👍 ребёнок доволен 👍;praise
очень доволен телефон соответствует описанию рекомендую 👍 продавца;praise
всё как в описании, коробка с телефоном запакованы были в целофане;praise
👍;praise
работает;praise
Все работает, цвета яркие, рекомендую;praise
пока не пользовался,включился вроде все в порядке;other
Бабушка телефоном довольна, заряд держит долго и сеть на даче ловит...;praise
прекрасный телефон за эти деньги;praise
отличный смартфон за свои деньги рекомендую;praise
Топ за свои деньги;praise
Масса хороших впечатление, телефон шустрый, не лагает, всё отлично));praise
Телефон Супер! Перешёл с Nokia XR20. Нокиа брал за 45 тысяч, а этот за 5, разницы никакой не ощущаю. К тому же финская компания обрубила все обновления после начала известных событий. А тут обещают 6 лет поддержки или даже больше.;praise
брала дочке на сборы. идеальный телефон для ребенка, летает, грузит и когда созванивались было слышно, отличный приём сигнала (у многих не ловило). я довольна, ребенок тоже);praise
За эти деньги просто супер!.. Аппарат порадовал...;praise
работает отлично;praise
ок;other
пока все хорошо. интересно сколько прослужит;other
Хороший смартфон, работает шустро, выбран в качестве звонилки, однако, превосходит все ожидания. В комплекте была плёнка на экран и чехол, ничего докупать не пришлось. Считаю, что это отличный выбор.;praise
Соответствует заявленным параметрам. Красивый нежный цвет. В целом довольно шустрый смартфон. Из минусов - не наклеенная защитная пленка, но это не существенно. Довольно бюджетный по цене. Хороший телефон, рекомендую.;praise
хороший телефон, всё работает.;praise
товар отличный.исходя из цены.;praise
супер;praise
брали на подарок все хорошо работает,именинник довольный пришёл за 1 день ,спасибо продавцу за качество и быструю доставку;praise
Все отлично работает;praise
за свои бабки, огонь телефон,поехал на фронт,модуль связи хороший ,связь есть даже в жопе мира;praise
все хорошо,только при разговоре по вацап идет сильный фон.;quality_complaint
"хороший товар 
телефон соответствует описанию";praise
отличный за такие деньги. Для работы уже второй такой купил.;praise
упакован хорошо в полиэтилен. пленка на экран. чехол зарядка и сам телефон. гугл плей есть;praise
Брали ребенку, телефон понравился, камера отличная, шустрый, за такую цену прекрасно;praise
Смартфон покупался бабушке. Отправляли в другой город,фото нет( Но бабушка довольна.;praise
Хороший телефон.;praise
Взял самый простой телефон, чтобы закачать в него навигатор и установить на мотоцикл. Упадет, украдут, промокнет... не жалко. Он медленный конечно, туповатый, но для моих задач подходит. Не ждите от него фантастических результатов. Не полный хлам. Можно брать.;other
ребенка все устраивает. для мелких игрушек и водосов отличный телефон.;praise
Пришёл целый, пока всё норм.;praise
пока работает ребёнку понравился;praise
Здравствуйте!!! Хорошо упакован. Работает.Спа;praise
Телефон очень хороший, небольшой и понятный. Всё быстро проверили и начинаем пользоваться. Покупайте не прогодаете.;praise
Заказала по просьбе знакомых, всё устроило, пока без претензий. Второе видео добавлять не стала, сделала фотки. Полный комплект, как всегда у Tecno.;praise
Хороший телефон за свои деньги;praise
пришёл целым,всё работает!;praise
Приехал в коробке без повреждений, в заводской упаковке. Заряжен на 72 процента. Работает шустро. Описанию соответствует.;praise
"За свои деньги, телефон отличный)
Спасибо!";praise
Хороший бюджетный телефон, был куплен для бабушки, скорость работы и отклика высокая, не глючит, не зависает, программы открывает быстро, качества звука и картинки хорошие. Так что 5 звёзд заслужено;praise
Нормальный смартфон покупал для внука 6 лет это его первый телефон но по работе непривычный мне привычнее конечно телефоны известных корейских марок;other
подростку понравился данный телефон, выбрала самостоятельно.;praise
Отличный смартфон за эти деньги. Шустрый, красивый, лёгкий и удобный. Рекомендую.;praise
Функционален.;praise
телефон пришел без повреждений,зарядку держит хорошо, всё понравилось 👍;praise
Доставлено быстро. Упаковано нормально. Работает. Полностью соответствует заявленному. Спасибо!;praise
Хороший;praise
Спасибо очень понравился в работе норм.;praise
Хороший телефон за адекватные деньги;praise
"взяли на замену старому андроиду мамы
для своей цены отличный";praise
все работает;praise
Спасибо!!!!!;praise
Очень понравился;praise
Отлично 👍;praise
начальное впечатление хорошее. стоит своих денег;praise
пришел быстро, визуально все хорошо,позже дополню.;praise
упакован ок. заряжен71/.сенсор работает. сим карту установить помогли, всё включили. спасибо. как будет работать посмотрим;praise
Проверили пока все отлично, спасибо;praise
